The number after B is the patent number
B4489711   19970114 B1
B4912800   19970114 B1
B4961740   19970114 B1
B5003640   19970114 B1
B5163115   19970114 B1
B5138967   19970114 B1
B4661655   19970121 B1
B4983449   19970128 B1
B5054615   19970128 B1
B5350442   19970128 B1
B4870519   19970128 B1
B5173195   19970128 B1
B4483905   19970204 B1
B5406627   19970204 B1
B4443811   19970204 B1
B5288048   19970204 B1
B5321205   19970204 B1
B5309983   19970204 B1
B5356432   19970204 B1
B5341012   19970204 B1
B5420927   19970204 B1
B4981534   19970204 B1
B5091938   19970204 B1
B5183539   19970204 B1
B4673996   19970204 B1
BRE33751   19970211 F1
B4734858   19970211 B1
B4745564   19970211 B1
B5310408   19970211 B1
B4361137   19970218 B1
B5052332   19970218 B1
B5302414   19970225 B1
B5367085   19970225 B1
B4710016   19970225 B1
B4843186   19970225 B1
B5193706   19970225 B2
B5061147   19970225 B1
B5351055   19970225 B1
B5221470   19970225 B1
B5312550   19970225 B1
B5043299   19970225 B1
B5207650   19970225 B1
B5355808   19970304 B1
B4230504   19970304 B1
B5439067   19970304 B1
B5235586   19970304 B1
BD366378   19970304 B1
B5348423   19970304 B1
B4978213   19970311 B1
B5243879   19970311 B1
B4725519   19970311 B1
B5094617   19970311 B1
B5186156   19970311 B1
B4197278   19970311 B1
B5353765   19970318 B1
B4714339   19970318 B1
B4596446   19970318 B2
B5097753   19970318 B1
B5516274   19970318 B1
B4966280   19970325 B1
B5408508   19970325 B1
B5116969   19970401 B1
B4915943   19970401 B1
B4761299   19970401 B1
B4912056   19970401 B1
B4743402   19970408 B1
B5353458   19970408 B1
B5468440   19970408 B1
B5320797   19970408 B1
B5407708   19970408 B1
B5015111   19970408 B1
B5099388   19970408 B1
B5297779   19970415 B1
BD359869   19970415 B1
B5116003   19970415 B1
B5365819   19970422 B1
B5299333   19970422 B1
B5441680   19970429 B1
B4712127   19970506 B1
B4996770   19970506 B1
B5340035   19970506 B1
B4753754   19970513 B1
B4703991   19970513 B1
B4856294   19970513 B1
B4066855   19970513 B1
B4066854   19970513 B1
B4508376   19970513 B1
B5458006   19970513 B1
B5443747   19970513 B1
B5427267   19970513 B1
B5249950   19970513 B1
B5012334   19970513 B1
B4634913   19970513 B1
B4662661   19970513 B1
B4690663   19970513 B1
B4500748   19970520 B2
B5433835   19970520 B1
B5260279   19970520 B1
B5465749   19970520 B1
B5022688   19970520 B1
B4971202   19970527 B1
B5211849   19970527 B1
B5022961   19970527 B1
B5094396   19970527 B1
B4629563   19970603 B1
B5246183   19970603 B1
B5376409   19970603 B1
B5429359   19970603 B1
B4634068   19970603 B1
B4352724   19970610 B1
B4420909   19970610 B2
B5173051   19970610 B1
B5381014   19970610 B1
B5433146   19970610 B1
B5339737   19970610 B1
B5423369   19970610 B1
B5039386   19970610 B1
B5386117   19970610 B1
B5237390   19970610 B1
B4822658   19970610 B1
B5439068   19970614 B1
B5105184   19970617 B1
B5110091   19970617 B1
B5116350   19970617 B1
B4478914   19970617 B1
B4985106   19970617 B1
B4138216   19970617 B1
B5162524   19970617 B1
B4881176   19970617 B1
B4870389   19970617 B1
B4854263   19970617 B1
B4350874   19970617 B2
B4484687   19970617 B1
B4316493   19970624 B1
B5376078   19970624 B1
B4790043   19970624 B1
B5245523   19970624 B1
B4585138   19970624 B1
B4465597   19970701 B2
B4393203   19970701 B2
B5457503   19970701 B1
B5425806   19970701 B1
B5304251   19970701 B1
B5347381   19970701 B1
B5021663   19970701 B1
B5098797   19970701 B1
B4825941   19970701 B1
B5219396   19970708 B1
B5411926   19970708 B1
B5507288   19970708 B1
B5211938   19970708 B1
B5077237   19970708 B1
B5381524   19970708 B2
B4763020   19970708 B1
B5514200   19970708 B1
B4867921   19970708 B1
B4095139   19970708 B1
B5172338   19970708 B1
B4933188   19970715 B1
B4690183   19970715 B1
B5091171   19970715 B1
B5016501   19970715 B1
B5419763   19970715 B1
B5422370   19970715 B1
B5425598   19970715 B1
B5360489   19970715 B1
B5293825   19970715 B1
B5479762   19970715 B1
B5498676   19970715 B1
B5547988   19970715 B1
B5463793   19970715 B1
B5385938   19970715 B1
B5389677   19970715 B1
B4220263   19970722 B1
B4702433   19970722 B1
B4692271   19970722 B1
B5208527   19970722 B1
B5168369   19970729 B1
B5452906   19970729 B1
B5371323   19970729 B1
B4469659   19970729 B1
B4451562   19970729 B1
B5133772   19970805 B1
B5552348   19970805 B1
B5384314   19970805 B1
B5302169   19970805 B1
B4701350   19970805 B2
B5084271   19970805 B1
B5317096   19970805 B1
B4259792   19970812 B1
B5148802   19970812 B1
B5297611   19970812 B1
B5214072   19970812 B1
B4691811   19970812 B1
B4311227   19970812 B1
BRE32115   19970812 F1
B5114598   19970826 B1
B5162409   19970826 B1
B5154483   19970826 B1
B4653030   19970826 B1
B5395407   19970826 B1
B5438042   19970826 B1
B4596900   19970826 B2
BD265291   19970826 B1
BD318309   19970826 B1
BD365291   19970826 B1
B5504072   19970826 B1
B5268036   19970826 B1
B5369556   19970826 B1
B5511570   19970826 B1
B5408521   19970826 B1
B4651598   19970909 B1
B5437880   19970909 B1
B4295567   19970909 B1
B4295897   19970909 B1
B4913145   19970909 B1
B5188533   19970909 B1
B4979150   19970909 B1
B5195748   19970909 B1
B5579669   19970916 B1
B5000991   19970916 B1
B4765432   19970916 B1
B4778286   19970916 B1
B4878553   19970916 B1
B5398142   19970916 B1
B5398193   19970916 B1
B5388650   19970916 B1
B5441490   19970916 B1
B4856787   19970923 B1
B4448426   19970923 B1
B4819691   19970923 B1
B4975874   19970923 B1
B5368107   19970923 B1
B5272930   19970923 B1
B4840815   19970930 B1
B4601019   19970930 B1
B4687663   19971007 B1
B5448109   19971007 B1
B5421580   19971007 B1
B4907610   19971007 B1
B5583937   19971007 B1
B5441311   19971007 B1
B4410931   19971007 B1
B5567460   19971014 B1
B5327493   19971014 B1
B4604708   19971014 B1
B5322055   19971014 B1
B4493870   19971014 B1
B4521275   19971014 B1
B5043429   19971014 B1
B5368809   19971021 B1
B4830006   19971028 B1
B4992754   19971028 B1
B5391298   19971028 B1
B5385092   19971028 B1
B5171232   19971028 B1
B4958569   19971104 B1
B4763187   19971104 B1
B4698360   19971104 B1
B4713147   19971104 B2
B5452951   19971118 B1
B5437466   19971118 B1
B5244624   19971118 B1
B5487938   19971118 B1
B5114777   19971118 B2
B5478356   19971118 B1
B5269721   19971118 B1
B5458282   19971118 B1
BD367846   19971118 B1
B4919631   19971125 B1
B5077099   19971202 B1
B4933514   19971209 B1
B5234280   19971209 B2
B5460317   19971209 B1
B4321232   19971209 B1
B4392159   19971209 B1
B5305919   19971216 B1
B4631557   19971216 B1
B5074437   19971216 B1
B4587796   19971223 B1
B5255096   19971223 B1
B4930544   19971223 B1
B4806123   19971223 B1
B5396737   19971223 B1
B4961230   19971223 B1
B5044091   19971230 B1
B5474318   19971230 B1
B5427831   19980106 B1
B5571100   19980106 B1
B5418363   19980106 B1
BRE33766   19980113 F1
B5152917   19980113 B1
B5222967   19980120 B1
B5240909   19980120 B1
B5134013   19980120 B1
B5421955   19980120 B1
B5309452   19980120 B1
B5280135   19980120 B1
B5260274   19980120 B1
B4692781   19980120 B2
B4774987   19980120 B1
B4225934   19980120 B1
B5001138   19980120 B1
B5547995   19980127 B1
B4609548   19980127 B1
B5226235   19980203 B1
B5125777   19980203 B1
B5513040   19980203 B1
B4593302   19980203 B1
B4387685   19980203 B1
B4532751   19980203 B1
B5443855   19980210 B1
B4305091   19980210 B2
B5420910   19980217 B1
B4421146   19980217 B1
B5173352   19980217 B1
B5125016   19980224 B1
B4514497   19980224 B1
B5544146   19980303 B1
B4977016   19980303 B1
B3985830   19980303 B1
B5389414   19980303 B1
BRE33933   19980303 F1
B4594204   19980303 B1
B4931992   19980303 B1
B4325984   19980303 B2
B5498631   19980303 B1
B5365690   19980303 B1
B5460967   19980310 B1
B5456498   19980310 B1
B5080895   19980310 B1
B4870105   19980310 B1
B5560096   19980310 B1
B4535907   19980310 B1
B4537322   19980310 B1
B5509826   19980310 B1
B5366318   19980310 B1
B4690862   19980317 B1
B5568018   19980317 B1
B4871189   19980317 B1
B5249323   19980317 B1
B5147343   19980317 B1
B4962144   19980324 B1
B5525428   19980324 B1
B5568390   19980331 B1
BRE34293   19980407 F1
B5315830   19980407 B1
B5310424   19980407 B1
B5476351   19980407 B1
B4554584   19980407 B1
B5466786   19980407 B1
B5324128   19980407 B1
B5052915   19980407 B1
B5559190   19980407 B1
B4589815   19980407 B1
B5396155   19980414 B1
B5466181   19980414 B1
B5229612   19980414 B1
B5209728   19980414 B1
B4609564   19980414 B1
B4641139   19980414 B1
B4919484   19980414 B1
B4960381   19980414 B1
B5037437   19980414 B1
B4496066   19980414 B1
B4547328   19980414 B1
B5174649   19980414 B1
B5487748   19980414 B1
B5496866   19980414 B1
B5502989   19980414 B1
B5396155   19980415 B1
B4785558   19980421 B1
B4723228   19980421 B1
B5465206   19980421 B1
B5401504   19980421 B1
B5295632   19980421 B1
B5043438   19980428 B1
B5455359   19980505 B1
B5375853   19980505 B1
B4982900   19980505 B1
B5018623   19980505 B1
B5445638   19980505 B1
B4601710   19980505 B1
B5520724   19980505 B1
B5350443   19980505 B1
B5076920   19980505 B2
B5164084   19980505 B2
B5292801   19980512 B1
B5477259   19980512 B1
B5281607   19980519 B1
B5237497   19980526 B1
B4609579   19980526 B1
B4625557   19980526 B2
B4867938   19980526 B1
B5443650   19980526 B1
B4196901   19980526 B1
B5514389   19980602 B1
B5496883   19980602 B1
B5279306   19980602 B1
B4396806   19980602 B2
B5322061   19980602 B1
B5376697   19980602 B1
B5082813   19980602 B1
B5105973   19980602 B1
B5459382   19980609 B1
B4418293   19980609 B1
B5410843   19980609 B1
B4904913   19980609 B2
B5419246   19980609 B1
B5420391   19980609 B1
B4581721   19980609 B1
B5076339   19980609 B1
BD313826   19980609 B1
B5567906   19980609 B1
B5443628   19980609 B1
B4597061   19980609 B1
B5206900   19980609 B1
B4641953   19980609 B1
B4560246   19980609 B1
B5074146   19980609 B1
B5037753   19980616 B2
B4217940   19980616 B2
B5522805   19980616 B1
B4810244   19980616 B1
B4764221   19980616 B1
B4757854   19980623 B1
B4915176   19980623 B1
B5503010   19980623 B1
B5587954   19980623 B1
B5250659   19980623 B1
B5054902   19980623 B1
B5456976   19980630 B1
B5492547   19980630 B1
B4544584   19980630 B2
B5108745   19980630 B1
B5030356   19980630 B1
B4818410   19980630 B1
B5105808   19980707 B1
B5269748   19980707 B1
B4935846   19980707 B1
B5298013   19980707 B1
B5346699   19980714 B1
B5096334   19980714 B1
B5522970   19980714 B1
B5393372   19980714 B1
B4461288   19980714 B1
B5554121   19980714 B1
B4433070   19980721 B3
B5422821   19980721 B1
B5166178   19980721 B1
B5533379   19980721 B1
B4372034   19980721 B1
B5062874   19980728 B1
B5153977   19980728 B1
B4486450   19980728 B1
B5458836   19980804 B1
B5231199   19980804 B1
B5275174   19980804 B1
B4879715   19980804 B1
B4930516   19980804 B1
B5231951   19980804 B1
B5377731   19980804 B1
B5382207   19980804 B1
B5339605   19980804 B1
B5614209   19980804 B1
B5501103   19980804 B1
B4990092   19980804 B1
B4549532   19980811 B1
B4887622   19980811 B1
B5017392   19980811 B1
B5593271   19980811 B1
B5514318   19980811 B1
B5446640   19980818 B1
B5299779   19980818 B1
B4994926   19980818 B1
B4810156   19980818 B1
B4754853   19980818 B1
B4728565   19980818 B1
B5199939   19980818 B1
B5181694   19980818 B1
B4418388   19980825 B1
B5570616   19980825 B1
B5324595   19980825 B1
B5290005   19980825 B1
B5522687   19980825 B1
B5244797   19980825 B1
B5047183   19980825 B1
B5305356   19980901 B1
B5488276   19980901 B1
B4479083   19980901 B1
B5383044   19980901 B1
B4902986   19980901 B1
B5121430   19980901 B1
B5164879   19980908 B1
B5334646   19980908 B1
B5522993   19980908 B1
B5664697   19980915 B1
B4730121   19980915 B1
B5405685   19980915 B1
B5491411   19980922 B1
B5341770   19980922 B1
B5402254   19980922 B1
B5394791   19980922 B1
B5167554   19980922 B1
B5576409   19980922 B1
B5505494   19980929 B1
B4699848   19980929 B1
BD398903   19980929 B1
B5398894   19980929 B1
B5389248   19980929 B1
B5252149   19980929 B1
B5223172   19980929 B1
B4291815   19980929 B1
B5466420   19981006 B1
B5446137   19981006 B1
B5617706   19981006 B1
B4805123   19981013 B1
B5197731   19981013 B1
B5124349   19981020 B1
B5355872   19981020 B1
B5622019   19981027 B1
B5516496   19981027 B1
B4739762   19981027 B1
B5096607   19981027 B1
B5215393   19981027 B1
B5216569   19981027 B1
B4642666   19981027 B1
B5368392   19981103 B1
B5330405   19981103 B1
B5594585   19981103 B1
B5603895   19981103 B1
B4885533   19981103 B1
B5029567   19981103 B1
B4502915   19981103 B1
B5566947   19981103 B1
B5451223   19981103 B1
B5382461   19981103 B1
B4940503   19981110 B1
B4949718   19981110 B1
B4823338   19981110 B1
B5330519   19981110 B1
B5375397   19981110 B1
B5541054   19981117 B1
B5664725   19981117 B1
B5598759   19981117 B1
B5396906   19981124 B1
B5583267   19981124 B1
B5089993   19981201 B1
B5378844   19981201 B1
B4340721   19981201 B1
B5228132   19981201 B1
BD365644   19981208 B1
B5533937   19981208 B1
B5073418   19981208 B1
BD363559   19981208 B1
BD351033   19981208 B1
BD351032   19981208 B1
B5614543   19981215 B1
BRE32876   19981215 F1
B4819687   19981215 B1
B5205315   19981215 B1
B4298604   19981222 B1
B5264268   19981222 B1
B5044096   19981229 B1
B5300564   19981229 B1
B5343616   19981229 B1
BD362917   19981229 B1
B4915675   19981229 B1
B4839039   19981229 B2
B5129900   19981229 B1
B5573277   19981229 B1
B5393268   19981229 B1
B5679383   19990105 B1
B4968317   19990105 B1
B4302790   19990108 B1
B5626160   19990112 B1
B4854198   19990112 B1
B5443960   19990112 B1
B5374434   19990119 B1
B5385770   19990119 B1
B5380517   19990119 B1
B4959699   19990119 B2
B5170919   19990119 B1
B5558094   19990119 B1
B4557720   19990126 B1
BD338723   19990126 B1
B5563157   19990202 B1
B4574049   19990202 B1
B4670444   19990209 B1
B4909017   19990209 B1
B4778851   19990209 B1
B5581464   19990209 B1
B5361598   19990209 B1
B5455346   19990209 B1
B5453471   19990209 B1
B5193710   19990209 B1
B5180551   19990209 B2
B5241898   19990209 B1
B5200248   19990209 B1
B4399407   19990209 B2
B4476531   19990209 B1
B4792067   19990216 B1
B5665737   19990216 B1
B5310584   19990216 B1
B5232646   19990216 B1
B5229812   19990216 B1
B4588580   19990216 B2
B5460685   19990216 B1
B5285647   19990223 B1
B5605682   19990223 B1
B5376581   19990223 B1
B5642773   19990223 B1
B4788975   19990302 B1
B4568420   19990302 B1
B5650703   19990302 B1
B5416148   19990302 B1
B5407718   19990302 B1
B5472326   19990302 B1
B5213581   19990302 B1
B5386963   19990309 B1
B5573751   19990309 B1
B4445550   19990309 B1
B5501393   19990309 B1
B5327375   19990316 B1
B5641888   19990316 B1
B5128755   19990323 B1
B4955798   19990330 B1
B4639301   19990504 B1
B5505233   19990511 B1
B5073038   19990511 B1
B5353626   19990511 B1
B5445069   19990511 B1
B5254390   19990518 B1
B4166152   19990518 B1
B4338543   19990518 B1
B5078064   19990518 B1
B4988981   19990518 B1
B4963736   19990525 B1
B4201099   19990525 B1
B4879007   19990525 B1
B5364105   19990525 B1
B5143335   19990525 B1
B5661133   19990601 B1
B5450628   19990601 B1
B4978146   19990601 B1
B5110952   19990601 B1
B5435400   19990601 B1
B4518422   19990608 B1
B4565917   19990608 B1
B5203108   19990608 B1
B4922936   19990608 B1
B4425481   19990608 B2
B5569034   19990615 B1
B5636667   19990615 B1
B5308196   19990622 B1
B5375126   19990622 B1
B5398326   19990622 B1
B5523540   19990622 B1
B5022385   19990622 B1
B5022024   19990622 B1
B5124395   19990622 B1
B5193447   19990622 B1
B5235680   19990622 B1
B4654849   19990622 B1
B5210846   19990629 B1
B5606817   19990629 B1
B5635517   19990629 B1
B4565714   19990629 B1
B5770548   19990629 B1
B5505163   19990706 B1
B5151444   19990706 B1
B5447851   19990706 B1
B5553262   19990706 B1
B5011515   19990706 B1
B4868823   19990706 B1
B5103459   19990706 B1
B5241951   19990706 B1
B4207630   19990713 B1
B4384317   19990713 B1
B4370592   19990713 B1
B5443636   19990713 B1
B5335914   19990713 B1
B5642906   19990720 B1
B4378940   19990720 B1
B5568385   19990720 B1
B5547656   19990720 B1
B5364759   19990720 B2
B5140638   19990720 B1
B5438837   19990727 B1
B5003970   19990727 B1
B4584569   19990727 B1
B5507832   19990727 B1
B4694664   19990727 B1
B4511761   19990803 B1
B4224645   19990803 B1
B5460820   19990803 B1
B5460374   19990803 B1
B5458803   19990803 B1
B4940488   19990810 B1
B4701743   19990810 B1
B4673035   19990810 B1
B4674686   19990810 B1
B5527840   19990810 B1
B5350443   19990810 B1
B5587012   19990810 B1
B5683503   19990810 B1
B5692129   19990817 B1
B5620075   19990817 B1
B4986469   19990817 B1
B5687809   19990824 B1
B5645571   19990824 B1
B4605576   19990824 B1
B5635012   19990824 B1
B4379120   19990824 B1
B5604105   19990824 B1
B5567733   19990824 B1
B5766526   19990824 B1
B5143722   19990824 B1
B5149579   19990824 B1
B5163368   19990824 B1
B4966320   19990824 B1
B5706983   19990824 B1
B4823373   19990824 B1
B5716436   19990824 B1
B5747274   19990824 B1
B4866400   19990831 B1
B5642554   19990831 B1
B5547381   19990907 B1
B5710008   19990907 B1
B4678097   19990907 B1
B4630301   19990907 B1
B5670047   19990907 B1
B5669998   19990907 B1
B5651375   19990907 B1
B4636214   19990907 B1
B4494223   19990907 B1
B5553953   19990907 B1
B5475640   19990907 B1
B5344568   19990907 B1
B5350413   19990907 B1
B5317768   19990907 B1
B5327380   19990907 B1
B5611468   19990907 B1
B4330182   19990907 B1
B4908918   19990914 B1
B5762189   19990914 B1
B4794724   19990921 B1
B5104407   19990921 B1
B5782971   19990921 B1
B5180751   19990928 B1
B5111291   19990928 B1
B5545241   19990928 B1
B5192931   19990928 B1
B4727365   19991005 B1
B5688173   19991005 B1
B5002478   19991005 B1
BD372985   19991005 B1
B5174205   19991005 B1
B5243606   19991005 B1
B5704552   19991005 B1
B4892549   19991005 B1
B5551570   19991005 B1
B5789416   19991005 B1
B5322339   19991005 B1
B5366349   19991012 B1
B5348061   19991012 B1
B5669731   19991012 B1
B5651549   19991012 B1
B4785450   19991012 B1
B4215646   19991012 B1
B5757255   19991012 B1
B4079003   19991019 B1
B4983312   19991019 B1
BD380560   19991019 B1
B4767386   19991019 B1
B5439417   19991026 B1
B4984597   19991026 B1
B4851076   19991026 B1
BD382347   19991102 B1
B5340922   19991102 B1
B5338157   19991102 B1
B5547715   19991102 B1
B4974160   19991102 B1
B4963862   19991102 B1
B4996812   19991102 B1
B5050609   19991102 B1
B5186978   19991102 B1
B4816333   19991102 B1
B5662748   19991102 B1
B5618002   19991102 B1
B5805582   19991109 B1
B5728482   19991109 B1
B5120420   19991109 B1
B5525516   19991109 B1
B5527521   19991109 B1
B5370744   19991109 B1
B5719329   19991116 B1
B5294497   19991116 B1
B5083039   19991116 B1
B4697932   19991116 B1
B4736787   19991116 B1
B5565109   19991123 B1
B4203555   19991123 B1
B5307044   19991123 B1
B5448922   19991123 B1
B5566678   19991130 B1
B5176654   19991207 B1
B5252122   19991207 B1
B4318964   19991207 B1
B5827470   19991207 B1
B4636986   19991207 B1
B5803510   19991207 B1
B4830716   19991207 B1
BRE33054   19991207 F1
B5532322   19991207 B1
B4654502   19991214 B1
B5062280   19991214 B1
B5750087   19991214 B1
BRE34489   19991214 F1
B5165418   19991214 B1
B5800844   19991214 B1
B5331058   19991214 B1
B4998780   19991221 B1
B5362754   19991221 B1
B5169700   19991221 B1
B5422216   19991228 B1
B5772711   19991228 B1
B5176973   19991228 B1
B5651746   20000104 B1
B5229723   20000104 B1
B5181234   20000104 B1
B4935594   20000104 B1
B5645805   20000111 B1
B4499255   20000111 B1
B5744963   20000111 B1
B5667146   20000111 B1
B5343749   20000111 B1
B5254002   20000111 B1
B5129912   20000111 B1
B5574260   20000118 B1
B5525634   20000118 B1
B5505609   20000118 B1
B5750190   20000125 B1
B5223844   20000125 B1
B4654727   20000125 B1
B5095770   20000125 B1
B4582959   20000201 B1
B5427890   20000201 B1
B5779913   20000201 B1
B4889698   20000201 B1
B4817089   20000201 B1
B4673076   20000201 B1
B5711165   20000201 B1
B5578075   20000208 B1
B5629132   20000208 B1
B5778203   20000208 B1
B5160209   20000208 B1
B4490209   20000215 B1
B5523117   20000215 B1
B5687656   20000215 B1
B5654451   20000222 B1
B5360619   20000222 B1
B5775691   20000229 B1
B5443854   20000229 B1
B5232438   20000229 B1
B5201537   20000229 B1
B5061277   20000229 B1
B4957759   20000229 B1
B5002482   20000229 B1
B5239329   20000307 B1
B4512721   20000307 B1
B5570581   20000307 B1
B5012334   20000307 B1
B5627873   20000314 B1
B5366722   20000314 B1
B5036549   20000314 B1
B5866613   20000314 B1
B5504013   20000314 B1
B5500968   20000314 B1
B5811190   20000314 B1
B5344362   20000314 B1
B5165917   20000314 B1
B5645681   20000314 B1
B5743584   20000321 B1
B5411760   20000321 B1
B5646611   20000321 B1
B4994291   20000321 B1
B5363838   20000328 B1
B5795800   20000328 B1
B5640923   20000328 B1
B4928854   20000404 B1
B5680122   20000404 B1
B5283140   20000404 B1
B5145287   20000404 B1
B4833301   20000404 B1
B5004681   20000411 B1
B5718073   20000411 B1
B5846686   20000411 B1
B5607077   20000411 B1
B5501393   20000411 B2
B5312576   20000418 B1
B5351644   20000418 B1
B5798082   20000418 B1
B5471533   20000418 B1
B5352291   20000418 B1
B5667023   20000418 B1
B4553314   20000418 B1
B5676146   20000418 B1
B5857835   20000418 B1
B5085036   20000418 B1
B4903859   20000418 B1
B5538795   20000418 B1
B4948611   20000425 B1
B4516372   20000425 B1
B4623818   20000425 B1
B4751378   20000425 B1
B4826880   20000425 B1
B4868039   20000425 B1
B4900291   20000425 B1
B5632404   20000425 B1
B5059591   20000425 B1
B5311100   20000425 B1
B5346924   20000425 B1
B5439113   20000425 B1
B5484932   20000425 B1
B5573277   20000425 B2
B5596656   20000425 B1
B5698938   20000425 B1
B5794634   20000425 B1
B5552591   20000502 B1
B4945775   20000502 B1
B5585741   20000502 B1
B5849064   20000502 B1
B5510821   20000502 B1
B4905411   20000502 B1
B5785135   20000502 B1
B5305749   20000502 B1
B5479652   20000502 B1
B5673959   20000502 B1
B5460756   20000502 B1
B5320629   20000502 B1
B5731022   20000502 B1
B4847964   20000509 B1
BD361036   20000509 B1
B5316829   20000509 B1
B5852135   20000509 B1
B5553083   20000516 B1
B5361070   20000516 B1
B4378940   20000523 B2
B4714339   20000523 B2
B4624462   20000523 B2
B5167145   20000523 B1
B5821048   20000523 B1
B5361757   20000523 B1
B5008879   20000530 B1
B4808425   20000530 B1
B5443650   20000530 B2
B4790601   20000530 B1
B5525228   20000530 B1
B4913906   20000606 B1
B4941440   20000606 B1
B5816001   20000606 B1
B5722106   20000606 B1
B5746919   20000606 B1
B5384181   20000613 B1
B5709457   20000620 B1
B5408876   20000620 B1
B5892341   20000627 B1
B4682043   20000627 B1
B4745564   20000704 B2
B4259016   20000704 B1
B5747132   20000704 B1
B5690038   20000704 B1
BD364184   20000711 B1
B5676056   20000711 B1
B5000991   20000711 B2
B4404972   20000711 B1
B5050047   20000711 B1
B5806467   20000711 B1
B5825051   20000711 B1
B5830255   20000711 B1
B5023387   20000718 B1
B4789327   20000718 B1
B4700717   20000718 B1
B5562054   20000718 B1
B5612303   20000718 B1
B5475425   20000725 B1
B5364585   20000725 B1
B5702092   20000725 B1
B5411683   20000801 B1
B5861075   20000801 B1
B5459730   20000808 B1
B5728547   20000808 B1
B5549732   20000808 B1
B5428412   20000808 B1
B4952045   20000808 B1
B5885469   20000808 B1
B5191365   20000815 B1
B5754433   20000822 B1
B5627833   20000822 B1
B5273470   20000822 B1
B5473613   20000829 B1
B4834189   20000829 B1
B4454390   20000829 B1
B5717014   20000829 B1
B5794473   20000829 B1
B5661117   20000829 B1
B4282233   20000905 B1
B5769890   20000905 B1
B5937715   20000905 B1
B5562077   20000905 B1
B5503583   20000905 B1
B5143325   20000905 B1
B4729015   20000912 B1
B5609380   20000912 B1
B4672691   20000912 B1
B4407288   20000919 B1
B5658666   20000919 B1
B5108388   20000919 B1
B5812937   20000919 B1
B5073142   20000919 B1
B5656608   20000926 B1
B4991049   20000926 B1
B4423543   20001003 B1
B5547656   20001003 B1
B5703176   20001003 B1
B5670781   20001010 B1
B5426585   20001010 B1
B5725895   20001010 B1
B5633286   20001010 B1
B4931479   20001010 B1
B5283422   20001017 B1
B5839080   20001017 B1
B5475919   20001017 B1
B5540023   20001017 B1
B5570042   20001017 B1
B5571303   20001017 B1
B5271338   20001017 B1
B5197927   20001017 B1
B5004863   20001017 B2
B4704116   20001017 B1
B4447784   20001017 B1
B4938370   20001017 B1
B5784788   20001017 B1
B5746034   20001017 B1
B5731580   20001017 B1
B4572191   20001024 B1
B5159135   20001024 B1
B5222985   20001024 B1
B5440578   20001024 B1
B5683971   20001024 B1
B4691975   20001031 B1
BD374485   20001031 B1
B5339987   20001031 B1
B5741354   20001031 B1
B4859016   20001107 B1
B5867955   20001107 B1
B5503004   20001107 B1
B5802789   20001107 B1
B5858449   20001107 B1
B5509608   20001107 B1
B5849811   20001114 B1
B5746035   20001114 B1
B5760100   20001114 B1
B5832960   20001114 B1
B5826756   20001114 B1
B5753253   20001114 B1
B4694995   20001114 B1
B5789461   20001121 B1
B4547860   20001121 B1
B4585955   20001121 B1
B5373317   20001121 B1
B5764683   20001121 B1
B5769228   20001121 B1
B5776999   20001121 B1
B4863559   20001121 B1
B5749588   20001121 B1
B5547017   20001128 B1
B5832881   20001128 B1
B5846513   20001128 B1
B5030971   20001128 B1
B5481092   20001128 B1
B5668678   20001128 B1
B4650227   20001128 B1
B5584086   20001128 B1
B5711651   20001128 B1
B5018519   20001128 B1
B5456906   20001205 B1
B5443287   20001205 B1
B5806375   20001205 B1
B4861972   20001205 B1
B4776337   20001205 B1
B5425435   20001205 B1
B5696165   20001205 B1
B5647489   20001212 B1
B5263967   20001219 B1
B5093617   20001219 B1
B4490209   20001219 B2
B5588800   20001219 B1
BD383263   20001226 B1
C5865598   20010102 C1
C4623823   20010102 C1
C5775534   20010102 C1
C5806571   20010102 C1
C5056578   20010102 C1
C5620921   20010109 C1
C4866257   20010109 C1
C4864276   20010109 C1
C5348432   20010109 C1
C5431535   20010109 C1
C5693332   20010109 C1
C5850024   20010109 C1
C5797392   20010109 C1
C5855892   20010109 C1
C5255207   20010109 C1
C5499108   20010116 C1
C5400904   20010116 C1
C5508282   20010123 C1
C5313511   20010130 C1
C4624140   20010130 C1
C5286806   20010130 C1
C5520252   20010130 C1
C5427720   20010130 C1
C5633436   20010130 C1
C5506203   20010206 C1
C5322127   20010206 C1
C5470954   20010206 C1
C5869526   20010206 C1
C4806345   20010206 C1
C5620335   20010206 C1
C4386272   20010206 C1
C5518998   20010213 C1
C5484472   20010220 C1
C5464632   20010220 C1
C5813366   20010220 C1
C4458366   20010220 C1
C5970856   20010220 C1
C5886118   20010220 C1
C4996780   20010227 C1
C5789091   20010227 C1
C5865452   20010227 C1
C5861810   20010227 C1
C4921749   20010227 C1
C5760082   20010306 C1
C5855089   20010306 C1
C5160925   20010306 C1
C5575925   20010306 C1
C5478852   20010313 C1
C5039016   20010313 C1
C4959113   20010313 C1
C5008511   20010320 C1
C5705640   20010320 C1
C5762348   20010320 C1
C5925376   20010320 C1
C5597161   20010320 C1
C5031111   20010327 C1
C5750750   20010327 C1
C5676036   20010327 C1
C5450630   20010327 C1
C4706720   20010327 C1
C5583909   20010327 C1
C4726193   20010327 C2
C4833365   20010327 C1
C5740724   20010403 C1
C5826797   20010403 C1
